,Match_No,Team1,Team2,Home_Pos,Home_Neg,Away_Pos,Away_Neg,result
0,1,Namibia,Sri Lanka,0.38016528925619836,0.1322314049586777,0.4260869565217391,0.10434782608695652,0
1,2,UAE,Netherlands,0.5657894736842105,0.09210526315789473,0.4888888888888889,0.15555555555555556,1
2,3,Scotland,West Indies,0.4444444444444444,0.2361111111111111,0.5396825396825397,0.1746031746031746,0
3,4,Zimbabwe,Ireland,0.5,0.14705882352941177,0.6296296296296297,0.09876543209876543,0
4,5,Namibia,Netherlands,0.5782881002087683,0.10020876826722339,0.6582278481012658,0.08860759493670886,1
5,6,Sri Lanka,UAE,0.543859649122807,0.11842105263157894,0.5471698113207547,0.10377358490566038,0
6,7,Scotland,Ireland,0.45454545454545453,0.11363636363636363,0.5076923076923077,0.09230769230769231,1
7,8,West Indies,Zimbabwe,0.5774647887323944,0.1267605633802817,0.44776119402985076,0.11940298507462686,0
8,9,Sri Lanka,Netherlands,0.4472049689440994,0.2360248447204969,0.5591397849462365,0.12903225806451613,0
9,10,UAE,Namibia,0.5352112676056338,0.08450704225352113,0.6363636363636364,0.09090909090909091,0
10,11,West Indies,Ireland,0.47435897435897434,0.14102564102564102,0.5444444444444444,0.1,1
11,12,Scotland,Zimbabwe,0.5522388059701493,0.1044776119402985,0.5121951219512195,0.14634146341463414,1
12,13,New Zealand,Australia,0.8870967741935484,0.11290322580645161,0.5339622641509434,0.1339622641509434,0
13,14,Afghanistan,England,0.6906474820143885,0.07194244604316546,0.5896414342629482,0.07569721115537849,1
14,15,Ireland,Sri Lanka,0.5632911392405063,0.10759493670886076,0.4945054945054945,0.13186813186813187,1
15,16,Pakistan,India,0.4604707302353651,0.08267954133977067,0.45089285714285715,0.09196428571428572,1
16,17,Bangladesh,Netherlands,0.49056603773584906,0.10377358490566038,0.49038461538461536,0.14423076923076922,0
17,18,Zimbabwe,South Africa,0.4057971014492754,0.17391304347826086,0.5342465753424658,0.1095890410958904,2
18,19,Sri Lanka,Australia,0.5147058823529411,0.10294117647058823,0.5080906148867314,0.10032362459546926,1
19,20,Ireland,England,0.5862068965517241,0.08275862068965517,0.5991189427312775,0.11013215859030837,0
20,21,New Zealand,Afghanistan,0.8705882352941177,0.12941176470588237,0.5421686746987951,0.07228915662650602,2
21,22,South Africa,Bangladesh,0.5492957746478874,0.09154929577464789,0.5202702702702703,0.07432432432432433,0
22,23,India,Netherlands,0.3881664499349805,0.14629388816644995,0.47854785478547857,0.09900990099009901,0
23,24,Zimbabwe,Pakistan,0.46124031007751937,0.13953488372093023,0.47003994673768307,0.12516644474034622,0
24,25,Afghanistan,Ireland,0.59,0.09,0.5555555555555556,0.16049382716049382,2
25,26,Australia,England,0.523876404494382,0.12078651685393259,0.5689655172413793,0.1867816091954023,2
26,27,New Zealand,Sri Lanka,0.8888888888888888,0.08888888888888889,0.5230769230769231,0.06153846153846154,0
27,28,Bangladesh,Zimbabwe,0.4642857142857143,0.10714285714285714,0.4101694915254237,0.1288135593220339,0
28,29,Netherlands,Pakistan,0.49295774647887325,0.11267605633802817,0.37717265353418306,0.13557358053302435,1
29,30,India,South Africa,0.4040561622464899,0.09438377535101404,0.39779005524861877,0.12154696132596685,1
30,31,Australia,Ireland,0.5466970387243736,0.11161731207289294,0.6935483870967742,0.1774193548387097,0
31,32,Afghanistan,Sri Lanka,0.625,0.0625,0.58,0.12,1
32,33,England,New Zealand,0.43,0.115,0.9136690647482014,0.08633093525179857,0
33,34,Zimbabwe,Netherlands,0.46236559139784944,0.20430107526881722,0.4807692307692308,0.11538461538461539,1
34,35,India,Bangladesh,0.38755391250770177,0.13863216266173753,0.37566137566137564,0.164021164021164,0
35,36,Pakistan,South Africa,0.47113163972286376,0.11316397228637413,0.5474452554744526,0.0948905109489051,0
36,37,New Zealand,Ireland,0.9069767441860465,0.09302325581395349,0.5217391304347826,0.1956521739130435,0
37,38,Australia,Afghanistan,0.4928909952606635,0.11137440758293839,0.5945945945945946,0.13513513513513514,0
38,39,Sri Lanka,England,0.6,0.2571428571428571,0.5238095238095238,0.1836734693877551,1
39,40,Netherlands,South Africa,0.41818181818181815,0.2727272727272727,0.4580152671755725,0.1297709923664122,0
40,41,Bangladesh,Pakistan,0.35294117647058826,0.18823529411764706,0.37390029325513197,0.1348973607038123,1
41,42,India,Zimbabwe,0.41740850642927796,0.10286844708209693,0.3870967741935484,0.14516129032258066,0
42,43,New Zealand,Pakistan,0.9368327402135231,0.05604982206405694,0.42952571810287243,0.10905143620574483,1
43,44,India,England,0.4437615242778119,0.06760909649661954,0.45919778699861685,0.08713692946058091,1
44,45,Pakistan,England,0.47444279346210994,0.08345715700842,0.4443201999605341,0.10326909162665264,1
