,Match_No,Team1,Team2,Home_Pos,Home_Neg,Away_Pos,Away_Neg,result
0,1,CSK,KKR,0.3190883190883191,0.054843304843304845,0.33258173618940245,0.04509582863585118,1
1,2,DC,MI,0.4262295081967213,0.05737704918032787,0.4251412429378531,0.0748587570621469,0
2,3,PBKS,RCB,0.44,0.06,0.4027777777777778,0.09722222222222222,0
3,4,GT,LSG,0.38636363636363635,0.10227272727272728,0.42105263157894735,0.05263157894736842,0
4,5,SRH,RR,0.38181818181818183,0.07272727272727272,0.46184738955823296,0.18875502008032127,1
5,6,RCB,KKR,0.29936305732484075,0.09235668789808917,0.3879310344827586,0.10344827586206896,0
6,7,LSG,CSK,0.1875,0.052083333333333336,0.3805970149253731,0.1044776119402985,0
7,8,KKR,PBKS,0.41304347826086957,0.028985507246376812,0.6296296296296297,0.05555555555555555,0
8,9,MI,RR,0.46853146853146854,0.0979020979020979,0.4326530612244898,0.1469387755102041,1
9,10,GT,DC,0.37349397590361444,0.14457831325301204,0.4111111111111111,0.13333333333333333,0
10,11,CSK,PBKS,0.35802469135802467,0.1419753086419753,0.16042780748663102,0.03208556149732621,1
11,12,SRH,LSG,0.27956989247311825,0.11827956989247312,0.23809523809523808,0.11904761904761904,1
12,13,RR,RCB,0.45622119815668205,0.14285714285714285,0.32710280373831774,0.07476635514018691,1
13,14,KKR,MI,0.415,0.105,0.47161572052401746,0.11935953420669577,0
14,15,LSG,DC,0.5476190476190477,0.09523809523809523,0.26262626262626265,0.09090909090909091,0
15,18,PBKS,GT,0.2631578947368421,0.15789473684210525,0.40540540540540543,0.06756756756756757,1
16,17,CSK,SRH,0.4144144144144144,0.12612612612612611,0.31746031746031744,0.1111111111111111,1
17,18,RCB,MI,0.41975308641975306,0.12345679012345678,0.2819548872180451,0.12280701754385964,0
18,19,KKR,DC,0.5288461538461539,0.07692307692307693,0.37254901960784315,0.10784313725490197,1
19,20,RR,LSG,0.46006389776357826,0.14057507987220447,0.4339622641509434,0.05660377358490566,0
20,21,SRH,GT,0.39473684210526316,0.05263157894736842,0.2982456140350877,0.03508771929824561,0
21,22,CSK,RCB,0.33624454148471616,0.07860262008733625,0.3298429319371728,0.07853403141361257,0
22,23,MI,PBKS,0.39076576576576577,0.12725225225225226,0.47761194029850745,0.08955223880597014,1
23,24,RR,GT,0.4090909090909091,0.1853146853146853,0.3225806451612903,0.053763440860215055,1
24,25,SRH,KKR,0.46,0.04,0.2898550724637681,0.07246376811594203,0
25,26,MI,LSG,0.45263157894736844,0.12180451127819548,0.40298507462686567,0.07462686567164178,1
26,27,DC,RCB,0.371900826446281,0.09090909090909091,0.375,0.1346153846153846,1
27,28,PBKS,SRH,0.5490196078431373,0.0392156862745098,0.18,0.04,1
28,29,GT,CSK,0.2482758620689655,0.07586206896551724,0.40336134453781514,0.14285714285714285,0
29,30,RR,KKR,0.2953929539295393,0.1111111111111111,0.4025974025974026,0.05194805194805195,0
30,31,LSG,RCB,0.3559322033898305,0.13559322033898305,0.31981981981981983,0.1036036036036036,1
31,32,DC,PBKS,0.4895833333333333,0.11458333333333333,0.49019607843137253,0.058823529411764705,0
32,33,MI,CSK,0.4379432624113475,0.10638297872340426,0.3705357142857143,0.0625,1
33,34,DC,RR,0.27586206896551724,0.0603448275862069,0.43568464730290457,0.17842323651452283,1
34,35,KKR,GT,0.3880597014925373,0.19402985074626866,0.37777777777777777,0.13333333333333333,1
35,36,RCB,SRH,0.36363636363636365,0.19008264462809918,0.4186046511627907,0.18604651162790697,1
36,37,LSG,MI,0.38461538461538464,0.09615384615384616,0.43705799151343705,0.12871287128712872,0
37,38,PBKS,CSK,0.3125,0.14583333333333334,0.3150684931506849,0.1643835616438356,0
38,39,RCB,RR,0.3137254901960784,0.08496732026143791,0.4479495268138801,0.08832807570977919,1
39,40,GT,SRH,0.36363636363636365,0.06363636363636363,0.4606741573033708,0.06741573033707865,0
40,41,DC,KKR,0.31891891891891894,0.11351351351351352,0.2777777777777778,0.18518518518518517,0
41,42,PBKS,LSG,0.40476190476190477,0.08333333333333333,0.32,0.12,1
42,43,GT,RCB,0.41935483870967744,0.05161290322580645,0.45255474452554745,0.08029197080291971,0
43,44,RR,MI,0.5259259259259259,0.07777777777777778,0.5099818511796733,0.08892921960072596,1
44,45,DC,LSG,0.27615062761506276,0.07531380753138076,0.18867924528301888,0.009433962264150943,1
45,46,SRH,CSK,0.2608695652173913,0.021739130434782608,0.3170731707317073,0.1073170731707317,1
46,47,KKR,RR,0.3625,0.05,0.35543766578249336,0.09018567639257294,0
47,48,GT,PBKS,0.1791044776119403,0.09701492537313433,0.16279069767441862,0.05813953488372093,1
48,49,RCB,CSK,0.391304347826087,0.07065217391304347,0.3211009174311927,0.0871559633027523,0
49,50,DC,SRH,0.5339805825242718,0.07766990291262135,0.4444444444444444,0.06944444444444445,0
